season,team1,team2,winner
2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2007/08,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2007/08,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
2007/08,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
2007/08,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
2007/08,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2007/08,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2007/08,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
2007/08,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2007/08,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2007/08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2007/08,Mumbai Indians,Deccan Chargers,Deccan Chargers
2007/08,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2007/08,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2007/08,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2007/08,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
2007/08,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2007/08,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2007/08,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
2007/08,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
2007/08,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
2007/08,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2007/08,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2007/08,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2007/08,Chennai Super Kings,Deccan Chargers,Deccan Chargers
2007/08,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2007/08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2007/08,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
2007/08,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2007/08,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
2007/08,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2007/08,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2007/08,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2007/08,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2007/08,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
2007/08,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2007/08,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2007/08,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2007/08,Deccan Chargers,Mumbai Indians,Mumbai Indians
2007/08,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2007/08,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
2007/08,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2007/08,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2007/08,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
2007/08,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2007/08,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2007/08,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2007/08,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
2007/08,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
2007/08,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2007/08,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2007/08,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2007/08,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
2009,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers
2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers
2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2009,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers
2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
2009/10,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
2009/10,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
2009/10,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2009/10,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
2009/10,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2009/10,Chennai Super Kings,Deccan Chargers,Deccan Chargers
2009/10,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
2009/10,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
2009/10,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2009/10,Delhi Daredevils,Mumbai Indians,Mumbai Indians
2009/10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2009/10,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
2009/10,Deccan Chargers,Kings XI Punjab,Deccan Chargers
2009/10,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2009/10,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2009/10,Deccan Chargers,Delhi Daredevils,Deccan Chargers
2009/10,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
2009/10,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2009/10,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
2009/10,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2009/10,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2009/10,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
2009/10,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
2009/10,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2009/10,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2009/10,Deccan Chargers,Mumbai Indians,Mumbai Indians
2009/10,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2009/10,Mumbai Indians,Kings XI Punjab,Mumbai Indians
2009/10,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2009/10,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
2009/10,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
2009/10,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
2009/10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2009/10,Mumbai Indians,Deccan Chargers,Mumbai Indians
2009/10,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
2009/10,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
2009/10,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
2009/10,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2009/10,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
2009/10,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2009/10,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
2009/10,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2009/10,Deccan Chargers,Chennai Super Kings,Deccan Chargers
2009/10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2009/10,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2009/10,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2009/10,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
2009/10,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2009/10,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2009/10,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2009/10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
2009/10,Kings XI Punjab,Deccan Chargers,Deccan Chargers
2009/10,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2009/10,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2009/10,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2009/10,Delhi Daredevils,Deccan Chargers,Deccan Chargers
2009/10,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
2009/10,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2009/10,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
2009/10,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
2011,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
2011,Delhi Daredevils,Mumbai Indians,Mumbai Indians
2011,Pune Warriors,Kings XI Punjab,Pune Warriors
2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
2011,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2011,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
2011,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors
2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala
2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils
2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala
2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers
2011,Mumbai Indians,Pune Warriors,Mumbai Indians
2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala
2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
2011,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2011,Deccan Chargers,Mumbai Indians,Mumbai Indians
2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals
2011,Chennai Super Kings,Pune Warriors,Chennai Super Kings
2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings
2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers
2011,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
2011,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils
2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2011,Rajasthan Royals,Pune Warriors,Rajasthan Royals
2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians
2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala
2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2011,Pune Warriors,Mumbai Indians,Mumbai Indians
2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala
2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
2011,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore
2011,Kings XI Punjab,Pune Warriors,Pune Warriors
2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
2011,Deccan Chargers,Pune Warriors,Pune Warriors
2011,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab
2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2011,Mumbai Indians,Deccan Chargers,Deccan Chargers
2011,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala
2011,Pune Warriors,Deccan Chargers,Deccan Chargers
2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings
2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2011,Kings XI Punjab,Deccan Chargers,Deccan Chargers
2011,Delhi Daredevils,Pune Warriors,NA
2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
2012,Mumbai Indians,Pune Warriors,Pune Warriors
2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
2012,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2012,Pune Warriors,Kings XI Punjab,Pune Warriors
2012,Deccan Chargers,Mumbai Indians,Mumbai Indians
2012,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
2012,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2012,Kings XI Punjab,Pune Warriors,Kings XI Punjab
2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2012,Pune Warriors,Chennai Super Kings,Pune Warriors
2012,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
2012,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2012,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings
2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2012,Delhi Daredevils,Pune Warriors,Pune Warriors
2012,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils
2012,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2012,Pune Warriors,Deccan Chargers,Deccan Chargers
2012,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
2012,Mumbai Indians,Deccan Chargers,Mumbai Indians
2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
2012,Deccan Chargers,Pune Warriors,Deccan Chargers
2012,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2012,Pune Warriors,Mumbai Indians,Mumbai Indians
2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
2012,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2012,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals
2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals
2012,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2012,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2012,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
2012,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers
2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
2012,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
2012,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
2012,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2013,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad
2013,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab
2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2013,Pune Warriors,Rajasthan Royals,Pune Warriors
2013,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Mumbai Indians,Pune Warriors,Mumbai Indians
2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2013,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
2013,Chennai Super Kings,Pune Warriors,Pune Warriors
2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
2013,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
2013,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
2013,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2013,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2013,Kings XI Punjab,Pune Warriors,Kings XI Punjab
2013,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2013,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
2013,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
2013,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2013,Delhi Daredevils,Pune Warriors,Delhi Daredevils
2013,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians
2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings
