season,team1,team2,winner
2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
2013,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2013,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals
2013,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Pune Warriors,Mumbai Indians,Mumbai Indians
2013,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2013,Kolkata Knight Riders,Pune Warriors,Pune Warriors
2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2013,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
2013,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
2013,Pune Warriors,Delhi Daredevils,Pune Warriors
2013,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2014,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2014,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2014,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
2014,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
2014,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
2014,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2014,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2014,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2014,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2014,Mumbai Indians,Kings XI Punjab,Mumbai Indians
2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
2014,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
2014,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
2014,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
2014,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
2014,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2014,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
2014,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2014,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2014,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2014,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2014,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
2015,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2015,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
2015,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
2015,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
2015,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2015,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
2015,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2015,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2015,Royal Challengers Bangalore,Rajasthan Royals,NA
2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
2015,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2015,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2015,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2015,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
2015,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
2015,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2015,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2015,Royal Challengers Bangalore,Delhi Daredevils,NA
2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2016,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2016,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants
2016,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions
2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2016,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions
2016,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2016,Mumbai Indians,Gujarat Lions,Gujarat Lions
2016,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab
2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
2016,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2016,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
2016,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
2016,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders
2016,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2016,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants
2016,Delhi Daredevils,Gujarat Lions,Gujarat Lions
2016,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2016,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions
2016,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2016,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
2016,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians
2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
2016,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants
2016,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore
2016,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
2016,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
2016,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
2016,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders
2016,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants
2016,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
2016,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
2016,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
2016,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants
2016,Gujarat Lions,Mumbai Indians,Gujarat Lions
2016,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
2017,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab
2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
2017,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
2017,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils
2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2017,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2017,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
2017,Mumbai Indians,Gujarat Lions,Mumbai Indians
2017,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant
2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
2017,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians
2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant
2017,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions
2017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2017,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
2017,Gujarat Lions,Mumbai Indians,Mumbai Indians
2017,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
2017,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
2017,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant
2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant
2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils
2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
2017,Delhi Daredevils,Mumbai Indians,Mumbai Indians
2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions
2017,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
2017,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
2017,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils
2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2017,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant
2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2018,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians
2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
2018,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2018,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2018,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
2018,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2018,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2018,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
2018,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2018,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
2018,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2018,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2018,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2018,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
2018,Mumbai Indians,Kings XI Punjab,Mumbai Indians
2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
2018,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2019,Delhi Capitals,Mumbai Indians,Delhi Capitals
2019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
2019,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
2019,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
2019,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2019,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2019,Kings XI Punjab,Delhi Capitals,Kings XI Punjab
2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians
2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
2019,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2019,Kings XI Punjab,Mumbai Indians,Mumbai Indians
2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2019,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
